Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2022-05-04,979.1173706054688,1007.3768720660909,973.7133485730124,1007.3768720660909,2931
2022-05-05,966.921142578125,993.7924328425527,956.8567699606518,985.4632927094641,3078
2022-05-06,966.8715209960938,991.5118587114216,942.9749148693812,966.6732571272431,8715
2022-05-09,1045.4031982421875,1084.7681361185232,1031.422086127325,1041.139435945566,128657
2022-05-10,1017.3916625976562,1080.8019681866494,1000.2871672599161,1036.2808353808261,23426
2022-05-11,979.5635375976562,1032.6615782866322,956.8567571828906,1032.6615782866322,22840
2022-05-12,982.3399658203125,997.1141954922708,957.5509289343659,980.7038651777962,11397
2022-05-13,961.7650756835938,1003.4602240760107,954.2291720760951,972.7218180025361,5815
2022-05-16,968.7554931640625,986.454840044023,957.5508613860427,973.5645417726486,12403
2022-05-17,992.404296875,1012.3842851833823,974.0108432687854,974.0108432687854,9310
2022-05-18,1021.7049560546875,1033.2070448216257,997.5108321406482,1004.4517623841715,11603
2022-05-19,1007.7734985351562,1021.1100732313075,996.469733834508,1010.2028362954196,3113
2022-05-20,1018.631103515625,1036.032933954864,1008.4179723899852,1011.4422226417057,3762
2022-05-23,997.8578491210938,1040.1479695158393,992.5530195284606,1040.1479695158393,5222
2022-05-24,1006.8810424804688,1026.2164293899175,998.0561217532968,1005.344134404192,2786
2022-05-25,993.842041015625,1041.1395348454846,992.6521551574941,1029.1911708152184,11455
2022-05-26,991.3630981445312,1011.6405413393536,983.6784971199,1000.386343401646,7511
2022-05-27,998.849365234375,1004.2533870395538,993.5941018491969,998.5023429478475,3318
2022-05-30,1012.9791259765625,1024.233323924545,1000.0392615047135,1005.5424153007749,5021
2022-05-31,1014.615234375,1036.1816955014658,992.8504488582923,1003.5097342426375,4293
2022-06-01,1041.7344970703125,1047.0393269350254,1009.7070724360034,1030.529924643575,20954
2022-06-02,1100.980224609375,1109.5572553039049,1033.5045410016626,1033.5045410016626,16718
2022-06-03,1089.626953125,1115.5066839854173,1080.7524051038274,1110.5488765010377,6091
2022-06-06,1078.223876953125,1098.699643812616,1070.8862984777359,1092.9981658346096,3932
2022-06-07,1064.5404052734375,1093.4940737813818,1057.3020789266182,1075.9433625564452,3328
2022-06-08,1059.8304443359375,1076.8853741046219,1056.012956915694,1060.921137735976,1282
2022-06-09,1065.2344970703125,1089.7260160765106,1039.2555148727495,1065.8789151703065,3608
2022-06-10,1067.0689697265625,1075.8442651002101,1048.8738397736965,1057.3021128182604,1596
2022-06-13,1028.5963134765625,1061.6153603453415,1026.2661681241323,1057.9465101153528,4202
2022-06-14,1026.6627197265625,1051.055106480231,1022.2006933311276,1040.0487989128674,2024
2022-06-15,1048.427490234375,1070.5888647569202,1021.6058252449743,1021.6058252449743,2601
2022-06-16,1027.2080078125,1065.8789033122007,1023.6880373847318,1065.8789033122007,124210
2022-06-17,1009.756591796875,1031.769328903069,996.5688364409218,1031.769328903069,6606
2022-06-20,1010.2027587890625,1022.3494466584424,998.2048898602711,1020.1184334718411,4917
2022-06-21,1014.4664916992188,1027.257658567025,1005.7903290424026,1019.3251669950789,11064
2022-06-22,1038.3135986328125,1064.9369994100198,1001.477066484283,1024.1838479423163,19617
2022-06-23,1024.4317626953125,1037.1733034483696,1016.4001389512226,1037.1236769585032,3458
2022-06-24,1018.2344360351562,1042.131041805723,1012.6816558276486,1038.6109503844907,2064
2022-06-27,1012.7808837890625,1033.9506964246211,1006.4348663351623,1017.4411741629027,1730
2022-06-28,1038.3135986328125,1041.1395245628685,1017.3420497157172,1020.1679756457731,27345
2022-06-29,1035.6859130859375,1043.9654268140055,1027.0593770655962,1027.0593770655962,3382
2022-06-30,1020.2175903320312,1046.0973197208743,1010.4011078631004,1044.6596040482443,6595
2022-07-01,1046.394775390625,1050.06350408987,1007.8725793676169,1008.9632726803486,18573
2022-07-04,1096.9644775390625,1125.3231107231527,1041.139519641259,1049.0720112194783,18409
2022-07-05,1122.298828125,1149.219746303837,1105.5910415261244,1105.5910415261244,9667
2022-07-06,1136.5277099609375,1143.8652890564267,1120.9602432779852,1129.6860326413052,6943
2022-07-07,1135.1396484375,1149.2197732571767,1121.7039417577057,1140.5932366626203,6763
2022-07-08,1134.4454345703125,1140.295671353124,1120.4644422861131,1122.4475651928142,4040
2022-07-11,1152.29345703125,1165.6300302342133,1120.9601415893806,1134.3462202372855,7313
2022-07-12,1132.01611328125,1166.5223778881023,1122.6954117751845,1163.7955839977233,3120
2022-07-13,1086.5531005859375,1143.7165221490836,1082.0910739982717,1116.7957252356732,26099
2022-07-14,1077.5794677734375,1094.3863869016407,1071.1343179776911,1084.123749511843,5076
2022-07-15,1079.3642578125,1085.7101542191658,1070.8863590539038,1085.7101542191658,2982
2022-07-18,1090.1722412109375,1122.4476164061975,1085.7598409582918,1086.7514024568839,9293
2022-07-19,1086.70166015625,1097.2123077533854,1078.9179274298579,1086.0572420830183,4371
2022-07-20,1095.6754150390625,1145.2038616285874,1075.6954273803067,1095.6754150390625,16755
2022-07-21,1134.9908447265625,1140.2956743076898,1099.4928961885496,1107.6732781998874,9560
2022-07-22,1131.56982421875,1159.4327964636757,1120.8114072086987,1139.3040515750301,8134
2022-07-25,1136.2799072265625,1166.0267536590243,1125.422356694805,1130.6776813139645,6058
2022-07-26,1119.2249755859375,1140.295656189438,1115.50662018532,1140.295656189438,2996
2022-07-27,1117.390625,1125.422248556989,1099.0467381292472,1115.556260520968,5039
2022-07-28,1152.9876708984375,1163.0519225081282,1113.2755874974725,1119.472846390244,5998
2022-07-29,1143.4190673828125,1175.000274172573,1136.3293790732225,1164.5392528514078,7850
2022-08-01,1159.0362548828125,1194.7324686772274,1137.5192978326018,1160.1269483184865,16264
2022-08-02,1157.548828125,1176.685890943392,1145.2534422854942,1174.008723520368,4041
2022-08-03,1156.5076904296875,1169.050967169276,1127.4550121309514,1169.050967169276,5195
2022-08-04,1167.4644775390625,1182.9328119788568,1148.2281611664007,1157.9950172584345,6063
2022-08-05,1139.8990478515625,1198.698691755763,1127.3062655307356,1179.9581556636494,75699
2022-08-08,1167.960205078125,1179.958073890312,1139.304056218461,1139.304056218461,7312
2022-08-10,1176.140625,1181.941235209723,1153.1859534806272,1171.034059381445,3333
2022-08-11,1157.4991455078125,1185.8082711461402,1155.1690004874029,1178.4210662871396,4848
2022-08-12,1175.000244140625,1188.8324770796148,1167.0677530409416,1174.0086827531645,6770
2022-08-16,1219.2735595703125,1264.2408470596456,1204.9950505013603,1234.4940035994186,68935
2022-08-17,1233.8494873046875,1240.8895495126364,1201.7724980539479,1236.4771494003903,11084
2022-08-18,1386.7978515625,1401.4730097751012,1229.5362261943903,1239.4518409217644,222052
2022-08-19,1381.34423828125,1428.8400561675915,1360.7693380970186,1400.778818584577,81963
