SYMBOL,NAME_OF_COMPANY,P/E Ratio,Debt-to-Equity,ROE (%),Earnings Growth,Market Cap,Sector,Industry
SHANTIGEAR,Shanthi Gears Limited,35.76062,,,0.511,35527135232.0,Industrials,Specialty Industrial Machinery
SHARDACROP,Sharda Cropchem Limited,19.107538,0.528,,5.765,46648504320.0,Basic Materials,Agricultural Inputs
SHARDAMOTR,Sharda Motor Industries Limited,13.534823,2.567,,0.003,42281472000.0,Consumer Cyclical,Auto Parts
SHAREINDIA,Share India Securities Limited,7.888945,17.128,,-0.48,34107484160.0,Financial Services,Capital Markets
SHEKHAWATI,Shekhawati Industries Limited,0.51713187,3.189,,-0.371,785571328.0,Consumer Cyclical,Textile Manufacturing
SHEMAROO,Shemaroo Entertainment Limited,,67.083,,,2824645888.0,Communication Services,Entertainment
SHILPAMED,Shilpa Medicare Limited,67.40899,21.154,,5.132,61569146880.0,Healthcare,Drug Manufacturers - Specialty & Generic
SHIVALIK,Shivalik Rasayan Limited,61.554577,19.058,,0.67,9957964800.0,Basic Materials,Agricultural Inputs
SHIVAMAUTO,Shivam Autotech Limited,,1086.824,,,3524613632.0,Consumer Cyclical,Auto Parts
SHIVAMILLS,Shiva Mills Limited,,12.443,,,636469312.0,Consumer Cyclical,Textile Manufacturing
SHIVATEX,Shiva Texyarn Limited,23.108234,90.59,,,2546133504.0,Consumer Cyclical,Textile Manufacturing
SHK,S H Kelkar and Company Limited,404.88373,66.461,,-0.471,24099096576.0,Basic Materials,Specialty Chemicals
SHOPERSTOP,Shoppers Stop Limited,181.58702,1115.521,,0.417,58742042624.0,Consumer Cyclical,Department Stores
SHRADHA,Shradha Infraprojects Limited,14.205743,161.495,,-0.096,3006023424.0,Real Estate,Real Estate - Development
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,27.671757,21.428,,,10737611776.0,Basic Materials,Building Materials
SHREECEM,SHREE CEMENT LIMITED,90.29919,8.041,,-0.724,1107479101440.0,Basic Materials,Building Materials
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,14.662988,22.26,,1.054,8172708352.0,Basic Materials,Specialty Chemicals
SHREERAMA,Shree Rama Multi-Tech Limited,24.321167,23.544,,1.438,4463480320.0,Consumer Cyclical,Packaging & Containers
SHRENIK,Shrenik Limited,,,,,403920032.0,Basic Materials,Paper & Paper Products
SHREYANIND,Shreyans Industries Limited,5.231267,10.903,,-0.564,2477522176.0,Basic Materials,Paper & Paper Products
